CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Unit_Name,Org_Type,Referral_Appointment_Time,Part,Total_referrals,Screening_sample_total,Clinical_indication,Highgrade_mod_severe,Inadequate,Borderline_changes,Mild_dyskaryosis,Moderate_dyskaryosis,Severe_dyskaryosis,Severe_dyskaryosis_Inv,Glandular_neoplasia,Clinical_Urgent,Clinical_Non_Urgent,Other
2023-24,N5,London,N5,London,London,Region,<=4_weeks,A,21349.0,14468.0,6089.0,5035.0,146.0,2689.0,6372.0,3361.0,1674.0,77.0,149.0,3152.0,2937.0,792.0
2023-24,N5,London,N5,London,London,Region,<=8_weeks,A,41435.0,29148.0,10549.0,5061.0,296.0,6752.0,16812.0,3381.0,1680.0,77.0,150.0,3366.0,7183.0,1738.0
2023-24,N5,London,N5,London,London,Region,<=12_weeks,A,46639.0,32666.0,12006.0,5063.0,344.0,7722.0,19310.0,3383.0,1680.0,77.0,150.0,3403.0,8603.0,1967.0
2023-24,N6,South East,N6,South East,South East,Region,Total_cases,A,27940.0,23119.0,2463.0,3951.0,67.0,6688.0,12240.0,2790.0,1161.0,93.0,80.0,686.0,1777.0,2358.0
2023-24,N6,South East,N6,South East,South East,Region,<=2_weeks,A,7455.0,6195.0,933.0,3653.0,6.0,875.0,1496.0,2578.0,1075.0,90.0,75.0,415.0,518.0,327.0
2023-24,N6,South East,N6,South East,South East,Region,<=4_weeks,A,12184.0,10097.0,1358.0,3912.0,15.0,2124.0,3876.0,2763.0,1149.0,90.0,80.0,568.0,790.0,729.0
2023-24,N6,South East,N6,South East,South East,Region,<=8_weeks,A,22664.0,19118.0,1906.0,3941.0,53.0,5331.0,9621.0,2783.0,1158.0,92.0,80.0,660.0,1246.0,1640.0
2023-24,N6,South East,N6,South East,South East,Region,<=12_weeks,A,25719.0,21667.0,2085.0,3941.0,62.0,6232.0,11260.0,2783.0,1158.0,92.0,80.0,669.0,1416.0,1967.0
2023-24,N7,South West,N7,South West,South West,Region,Total_cases,A,31775.0,21439.0,6969.0,3732.0,274.0,6210.0,11064.0,2428.0,1304.0,62.0,97.0,2970.0,3999.0,3367.0
2023-24,N7,South West,N7,South West,South West,Region,<=2_weeks,A,9238.0,5584.0,3141.0,3327.0,32.0,862.0,1212.0,2169.0,1158.0,59.0,92.0,2327.0,814.0,513.0
2023-24,N7,South West,N7,South West,South West,Region,<=4_weeks,A,16025.0,10174.0,4369.0,3660.0,109.0,2426.0,3820.0,2384.0,1276.0,62.0,97.0,2801.0,1568.0,1482.0
2023-24,N7,South West,N7,South West,South West,Region,<=8_weeks,A,29537.0,20143.0,6285.0,3721.0,258.0,5771.0,10234.0,2422.0,1299.0,62.0,97.0,2959.0,3326.0,3109.0
2023-24,N7,South West,N7,South West,South West,Region,<=12_weeks,A,30924.0,21153.0,6507.0,3730.0,269.0,6115.0,10880.0,2428.0,1302.0,62.0,97.0,2970.0,3537.0,3264.0
2023-24,N1,North East and Yorkshire,RCF,Airedale NHS Foundation Trust,Airedale General Hospital,Trust,Total_cases,A,707.0,not included,257.0,56.0,not included,not included,not included,not included,not included,2.0,3.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RCF,Airedale NHS Foundation Trust,Airedale General Hospital,Trust,<=2_weeks,A,274.0,not included,192.0,52.0,not included,not included,not included,not included,not included,2.0,3.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RCF,Airedale NHS Foundation Trust,Airedale General Hospital,Trust,<=4_weeks,A,442.0,not included,226.0,55.0,not included,not included,not included,not included,not included,2.0,3.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RFF,Barnsley Hospital NHS Foundation Trust,Barnsley Hospital,Trust,Total_cases,A,1759.0,not included,393.0,137.0,not included,not included,not included,not included,not included,4.0,7.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RFF,Barnsley Hospital NHS Foundation Trust,Barnsley Hospital,Trust,<=2_weeks,A,384.0,not included,131.0,132.0,not included,not included,not included,not included,not included,4.0,7.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RFF,Barnsley Hospital NHS Foundation Trust,Barnsley Hospital,Trust,<=4_weeks,A,559.0,not included,182.0,137.0,not included,not included,not included,not included,not included,4.0,7.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RAE,Bradford Teaching Hospitals NHS Foundation Trust,Bradford Royal Infirmary,Trust,Total_cases,A,1794.0,not included,636.0,179.0,not included,not included,not included,not included,not included,7.0,16.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RAE,Bradford Teaching Hospitals NHS Foundation Trust,Bradford Royal Infirmary,Trust,<=2_weeks,A,607.0,not included,348.0,171.0,not included,not included,not included,not included,not included,7.0,16.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RAE,Bradford Teaching Hospitals NHS Foundation Trust,Bradford Royal Infirmary,Trust,<=4_weeks,A,786.0,not included,412.0,179.0,not included,not included,not included,not included,not included,7.0,16.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RWY,Calderdale and Huddersfield NHS Foundation Trust,Calderdale Royal Hospital,Trust,Total_cases,A,1725.0,not included,257.0,187.0,not included,not included,not included,not included,not included,2.0,17.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RWY,Calderdale and Huddersfield NHS Foundation Trust,Calderdale Royal Hospital,Trust,<=2_weeks,A,354.0,not included,140.0,183.0,not included,not included,not included,not included,not included,1.0,17.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RWY,Calderdale and Huddersfield NHS Foundation Trust,Calderdale Royal Hospital,Trust,<=4_weeks,A,386.0,not included,150.0,186.0,not included,not included,not included,not included,not included,1.0,17.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RWY,Calderdale and Huddersfield NHS Foundation Trust,Huddersfield Royal Infirmary,Trust,Total_cases,A,287.0,not included,50.0,13.0,not included,not included,not included,not included,not included,0.0,3.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RWY,Calderdale and Huddersfield NHS Foundation Trust,Huddersfield Royal Infirmary,Trust,<=2_weeks,A,44.0,not included,25.0,13.0,not included,not included,not included,not included,not included,0.0,3.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RWY,Calderdale and Huddersfield NHS Foundation Trust,Huddersfield Royal Infirmary,Trust,<=4_weeks,A,47.0,not included,28.0,13.0,not included,not included,not included,not included,not included,0.0,3.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Bishop Auckland General Hospital,Trust,Total_cases,A,1136.0,not included,179.0,87.0,not included,not included,not included,not included,not included,0.0,3.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Bishop Auckland General Hospital,Trust,<=2_weeks,A,174.0,not included,29.0,86.0,not included,not included,not included,not included,not included,0.0,3.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Bishop Auckland General Hospital,Trust,<=4_weeks,A,471.0,not included,66.0,87.0,not included,not included,not included,not included,not included,0.0,3.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Chester-Le-Street Community Hospital,Trust,Total_cases,A,383.0,not included,44.0,22.0,not included,not included,not included,not included,not included,2.0,2.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Chester-Le-Street Community Hospital,Trust,<=2_weeks,A,44.0,not included,6.0,22.0,not included,not included,not included,not included,not included,2.0,2.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Chester-Le-Street Community Hospital,Trust,<=4_weeks,A,113.0,not included,14.0,22.0,not included,not included,not included,not included,not included,2.0,2.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Darlington Memorial Hospital,Trust,Total_cases,A,540.0,not included,49.0,33.0,not included,not included,not included,not included,not included,0.0,2.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Darlington Memorial Hospital,Trust,<=2_weeks,A,59.0,not included,7.0,33.0,not included,not included,not included,not included,not included,0.0,2.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Darlington Memorial Hospital,Trust,<=4_weeks,A,185.0,not included,16.0,33.0,not included,not included,not included,not included,not included,0.0,2.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,HMP Low Newton,Trust,Total_cases,A,22.0,not included,0.0,4.0,not included,not included,not included,not included,not included,0.0,0.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,HMP Low Newton,Trust,<=2_weeks,A,14.0,not included,0.0,4.0,not included,not included,not included,not included,not included,0.0,0.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,HMP Low Newton,Trust,<=4_weeks,A,20.0,not included,0.0,4.0,not included,not included,not included,not included,not included,0.0,0.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Shotley Bridge Community Hospital,Trust,Total_cases,A,755.0,not included,77.0,59.0,not included,not included,not included,not included,not included,1.0,1.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Shotley Bridge Community Hospital,Trust,<=2_weeks,A,137.0,not included,8.0,59.0,not included,not included,not included,not included,not included,1.0,1.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Shotley Bridge Community Hospital,Trust,<=4_weeks,A,322.0,not included,28.0,59.0,not included,not included,not included,not included,not included,1.0,1.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,Bassetlaw Hospital,Trust,Total_cases,A,591.0,not included,162.0,48.0,not included,not included,not included,not included,not included,0.0,2.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,Bassetlaw Hospital,Trust,<=2_weeks,A,89.0,not included,22.0,47.0,not included,not included,not included,not included,not included,0.0,2.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,Bassetlaw Hospital,Trust,<=4_weeks,A,220.0,not included,58.0,48.0,not included,not included,not included,not included,not included,0.0,2.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,Doncaster Royal Infirmary,Trust,Total_cases,A,1843.0,not included,571.0,162.0,not included,not included,not included,not included,not included,1.0,12.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,Doncaster Royal Infirmary,Trust,<=2_weeks,A,331.0,not included,91.0,160.0,not included,not included,not included,not included,not included,1.0,12.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,Doncaster Royal Infirmary,Trust,<=4_weeks,A,540.0,not included,183.0,161.0,not included,not included,not included,not included,not included,1.0,12.0,not included,not included,not included
2023-24,N1,North East and Yorkshire,RR7,Gateshead Health NHS Foundation Trust,Queen Elizabeth Hospital,Trust,Total_cases,A,1226.0,not included,82.0,127.0,not included,not included,not included,not included,not included,3.0,6.0,not included,not included,not included
