Month,Quarter,Region_Code,Region_Name,Parent_Name,Org_ONS_Code,Org_Code,Org_Name,Age,Eligible,Screened,Coverage(%),No. screens to reach target,National Rank,Total_Orgs,National_Coverage(%),Coverage_Change
2021-06-30,2021-22 Q1,E40000010,North West,GREATER MANCHESTER HEALTH AND SOCIAL CARE PARTNERSHIP (STP),E38000016,00T,NHS BOLTON CCG,25-49,51393,35733,69.528924173,5382,79,106,69.2,-0.478067205
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,WEST YORKSHIRE AND HARROGATE (HEALTH & CARE PARTNERSHIP) STP,E38000232,36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,25-49,105596,69462,65.780900792,15015,94,106,69.2,-0.463789098
2021-06-30,2021-22 Q1,E40000005,South East,SUSSEX AND EAST SURREY STP,E38000021,09D,NHS BRIGHTON AND HOVE CCG,25-49,61338,39725,64.764094036,9346,99,106,69.2,-0.013876447
2021-06-30,2021-22 Q1,E40000006,South West,BRISTOL  NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE STP,E38000222,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",25-49,187313,135764,72.47975314,14087,56,106,69.2,0.5648755348
2021-06-30,2021-22 Q1,E40000005,South East,BUCKINGHAMSHIRE  OXFORDSHIRE AND BERKSHIRE WEST STP,E38000223,14Y,NHS BUCKINGHAMSHIRE CCG,25-49,94206,66948,71.065537227,8417,69,106,69.2,-0.207201678
2021-06-30,2021-22 Q1,E40000010,North West,GREATER MANCHESTER HEALTH AND SOCIAL CARE PARTNERSHIP (STP),E38000024,00V,NHS BURY CCG,25-49,34311,24591,71.670892717,2858,66,106,69.2,-0.031129401
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,WEST YORKSHIRE AND HARROGATE (HEALTH & CARE PARTNERSHIP) STP,E38000025,02T,NHS CALDERDALE CCG,25-49,35415,25580,72.229281378,2752,58,106,69.2,-0.745897324
2021-06-30,2021-22 Q1,E40000007,East of England,CAMBRIDGESHIRE AND PETERBOROUGH STP,E38000026,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,25-49,174337,116166,66.633015367,23304,92,106,69.2,-0.369711009
2021-06-30,2021-22 Q1,E40000008,Midlands,STAFFORDSHIRE AND STOKE ON TRENT STP,E38000028,04Y,NHS CANNOCK CHASE CCG,25-49,21087,16132,76.502110305,738,11,106,69.2,-0.257549407
2021-06-30,2021-22 Q1,E40000007,East of England,MID AND SOUTH ESSEX STP,E38000030,99F,NHS CASTLE POINT AND ROCHFORD CCG,25-49,26868,20732,77.162423701,763,7,106,69.2,-0.198584453
2021-06-30,2021-22 Q1,E40000010,North West,CHESHIRE AND MERSEYSIDE STP,E38000233,27D,NHS CHESHIRE CCG,25-49,120046,90340,75.25448578,5697,20,106,69.2,0.4347595779
2021-06-30,2021-22 Q1,E40000010,North West,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,E38000034,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,25-49,29429,22659,76.995480648,885,8,106,69.2,0.4346698375
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,CUMBRIA AND NORTH EAST STP,E38000234,84H,NHS COUNTY DURHAM CCG,25-49,82375,62808,76.246433991,3092,13,106,69.2,0.1144429936
2021-06-30,2021-22 Q1,E40000008,Midlands,COVENTRY AND WARWICKSHIRE STP,E38000251,B2M3M,NHS COVENTRY AND WARWICKSHIRE CCG,25-49,167335,116265,69.480383662,17603,80,106,69.2,
2021-06-30,2021-22 Q1,E40000008,Midlands,JOINED UP CARE DERBYSHIRE STP,E38000229,15M,NHS DERBY AND DERBYSHIRE CCG,25-49,164240,124556,75.837798344,6836,16,106,69.2,-0.691546096
2021-06-30,2021-22 Q1,E40000006,South West,DEVON STP,E38000230,15N,NHS DEVON CCG,25-49,179889,133759,74.356408674,10153,31,106,69.2,-0.457129912
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,SOUTH YORKSHIRE AND BASSETLAW STP,E38000044,02X,NHS DONCASTER CCG,25-49,51490,37212,72.270343756,3980,57,106,69.2,0.3924403804
2021-06-30,2021-22 Q1,E40000006,South West,DORSET STP,E38000045,11J,NHS DORSET CCG,25-49,117443,86581,73.721720324,7374,41,106,69.2,0.1802564095
2021-06-30,2021-22 Q1,E40000007,East of England,HERTFORDSHIRE AND WEST ESSEX STP,E38000049,06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,25-49,104558,78180,74.771896938,5467,26,106,69.2,-0.427863736
2021-06-30,2021-22 Q1,E40000010,North West,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,E38000050,01A,NHS EAST LANCASHIRE CCG,25-49,61839,43613,70.526690276,5859,75,106,69.2,-1.688570663
2021-06-30,2021-22 Q1,E40000008,Midlands,LEICESTER  LEICESTERSHIRE AND RUTLAND STP,E38000051,03W,NHS EAST LEICESTERSHIRE AND RUTLAND CCG,25-49,51153,38666,75.588919516,2257,18,106,69.2,-1.0429136
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,HUMBER  COAST AND VALE STP,E38000052,02Y,NHS EAST RIDING OF YORKSHIRE CCG,25-49,41581,32164,77.352637022,1101,5,106,69.2,-0.573504771
2021-06-30,2021-22 Q1,E40000008,Midlands,STAFFORDSHIRE AND STOKE ON TRENT STP,E38000053,05D,NHS EAST STAFFORDSHIRE CCG,25-49,23047,15553,67.483837376,2885,90,106,69.2,-0.563109743
2021-06-30,2021-22 Q1,E40000005,South East,SUSSEX AND EAST SURREY STP,E38000235,97R,NHS EAST SUSSEX CCG,25-49,78973,57616,72.956580097,5563,52,106,69.2,-0.145960077
2021-06-30,2021-22 Q1,E40000005,South East,FRIMLEY HEALTH & CARE ICS (STP),E38000252,D4U1Y,NHS FRIMLEY CCG,25-49,141206,99825,70.694588049,13140,73,106,69.2,
2021-06-30,2021-22 Q1,E40000010,North West,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,E38000226,02M,NHS FYLDE & WYRE CCG,25-49,23531,18416,78.262717267,409,2,106,69.2,0.7215873087
2021-06-30,2021-22 Q1,E40000006,South West,GLOUCESTERSHIRE STP,E38000062,11M,NHS GLOUCESTERSHIRE CCG,25-49,102445,78318,76.448826199,3638,12,106,69.2,0.6215676601
2021-06-30,2021-22 Q1,E40000010,North West,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,E38000227,01E,NHS GREATER PRESTON CCG,25-49,35317,24066,68.142820738,4188,86,106,69.2,-0.606278348
2021-06-30,2021-22 Q1,E40000010,North West,CHESHIRE AND MERSEYSIDE STP,E38000068,01F,NHS HALTON CCG,25-49,21747,15677,72.088104106,1721,61,106,69.2,-0.674595325
2021-06-30,2021-22 Q1,E40000005,South East,HAMPSHIRE AND THE ISLE OF WIGHT STP,E38000253,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT CCG",25-49,258620,186778,72.221019256,20118,59,106,69.2,
2021-06-30,2021-22 Q1,E40000008,Midlands,HEREFORDSHIRE AND WORCESTERSHIRE STP,E38000236,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG,25-49,118323,86827,73.381337525,7832,45,106,69.2,0.0896864328
2021-06-30,2021-22 Q1,E40000007,East of England,HERTFORDSHIRE AND WEST ESSEX STP,E38000079,06N,NHS HERTS VALLEYS CCG,25-49,117400,84216,71.734241908,9704,65,106,69.2,1.3469029438
2021-06-30,2021-22 Q1,E40000010,North West,GREATER MANCHESTER HEALTH AND SOCIAL CARE PARTNERSHIP (STP),E38000080,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",25-49,39864,28901,72.498996588,2991,55,106,69.2,0.3180718057
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,HUMBER  COAST AND VALE STP,E38000085,03F,NHS HULL CCG,25-49,51541,36043,69.930734755,5190,77,106,69.2,-1.284050538
2021-06-30,2021-22 Q1,E40000007,East of England,SUFFOLK AND NORTH EAST ESSEX STP,E38000086,06L,NHS IPSWICH AND EAST SUFFOLK CCG,25-49,61867,45889,74.17363053,3605,35,106,69.2,0.3206721994
2021-06-30,2021-22 Q1,E40000005,South East,KENT AND MEDWAY STP,E38000237,91Q,NHS KENT AND MEDWAY CCG,25-49,310742,223597,71.955834744,24997,63,106,69.2,-0.447675911
2021-06-30,2021-22 Q1,E40000006,South West,CORNWALL AND THE ISLES OF SCILLY HEALTH & SOCIAL CARE PARTNERSHIP (STP),E38000089,11N,NHS KERNOW CCG,25-49,84290,61805,73.324237751,5627,48,106,69.2,-1.090239326
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,WEST YORKSHIRE AND HARROGATE (HEALTH & CARE PARTNERSHIP) STP,E38000254,X2C4Y,NHS KIRKLEES CCG,25-49,72726,51809,71.238621676,6372,68,106,69.2,
2021-06-30,2021-22 Q1,E40000010,North West,CHESHIRE AND MERSEYSIDE STP,E38000091,01J,NHS KNOWSLEY CCG,25-49,28188,20342,72.16546048,2209,60,106,69.2,-0.991867107
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,WEST YORKSHIRE AND HARROGATE (HEALTH & CARE PARTNERSHIP) STP,E38000225,15F,NHS LEEDS CCG,25-49,158030,108935,68.933113966,17489,84,106,69.2,-1.106507711
2021-06-30,2021-22 Q1,E40000008,Midlands,LEICESTER  LEICESTERSHIRE AND RUTLAND STP,E38000097,04C,NHS LEICESTER CITY CCG,25-49,74994,44778,59.708776702,15218,104,106,69.2,-0.747231882
2021-06-30,2021-22 Q1,E40000008,Midlands,LINCOLNSHIRE STP,E38000238,71E,NHS LINCOLNSHIRE CCG,25-49,115625,85084,73.586162162,7416,43,106,69.2,-0.763880835
2021-06-30,2021-22 Q1,E40000010,North West,CHESHIRE AND MERSEYSIDE STP,E38000101,99A,NHS LIVERPOOL CCG,25-49,95417,61584,64.541957932,14750,100,106,69.2,-0.451150527
2021-06-30,2021-22 Q1,E40000010,North West,GREATER MANCHESTER HEALTH AND SOCIAL CARE PARTNERSHIP (STP),E38000217,14L,NHS MANCHESTER CCG,25-49,131747,79153,60.079546403,26245,103,106,69.2,-1.08521011
2021-06-30,2021-22 Q1,E40000007,East of England,MID AND SOUTH ESSEX STP,E38000106,06Q,NHS MID ESSEX CCG,25-49,64603,48073,74.412952959,3610,29,106,69.2,0.3787223643
2021-06-30,2021-22 Q1,E40000010,North West,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,E38000228,01K,NHS MORECAMBE BAY CCG,25-49,49686,35174,70.792577386,4575,72,106,69.2,-1.133772231
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,CUMBRIA AND NORTH EAST STP,E38000212,13T,NHS NEWCASTLE GATESHEAD CCG,25-49,87523,60463,69.082412623,9556,83,106,69.2,0.2971002698
2021-06-30,2021-22 Q1,E40000007,East of England,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),E38000239,26A,NHS NORFOLK & WAVENEY CCG,25-49,156534,115706,73.917487575,9522,40,106,69.2,0.6028772225
2021-06-30,2021-22 Q1,E40000003,London,NORTH LONDON PARTNERS IN HEALTH & CARE (STP),E38000240,93C,NHS NORTH CENTRAL LONDON CCG,25-49,371926,217697,58.532342455,79844,105,106,69.2,-0.377332038
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,CUMBRIA AND NORTH EAST STP,E38000215,01H,NHS NORTH CUMBRIA CCG,25-49,46631,36816,78.951770282,489,1,106,69.2,-0.506879553
2021-06-30,2021-22 Q1,E40000007,East of England,SUFFOLK AND NORTH EAST ESSEX STP,E38000117,06T,NHS NORTH EAST ESSEX CCG,25-49,54163,40257,74.325646659,3074,32,106,69.2,0.826639588
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,HUMBER  COAST AND VALE STP,E38000119,03H,NHS NORTH EAST LINCOLNSHIRE CCG,25-49,25567,18963,74.169828294,1491,36,106,69.2,-0.492571206
2021-06-30,2021-22 Q1,E40000003,London,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),E38000255,A3A8R,NHS NORTH EAST LONDON CCG,25-49,494672,303635,61.381076754,92103,102,106,69.2,
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,HUMBER  COAST AND VALE STP,E38000122,03K,NHS NORTH LINCOLNSHIRE CCG,25-49,26846,19217,71.582358638,2260,67,106,69.2,-1.108899724
2021-06-30,2021-22 Q1,E40000008,Midlands,STAFFORDSHIRE AND STOKE ON TRENT STP,E38000126,05G,NHS NORTH STAFFORDSHIRE CCG,25-49,30881,23342,75.586930475,1363,19,106,69.2,0.0945891184
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,CUMBRIA AND NORTH EAST STP,E38000127,99C,NHS NORTH TYNESIDE CCG,25-49,36790,28585,77.697743952,847,4,106,69.2,0.9567892878
2021-06-30,2021-22 Q1,E40000003,London,NORTH WEST LONDON HEALTH & CARE PARTNERSHIP (STP),E38000256,W2U3Z,NHS NORTH WEST LONDON CCG,25-49,570219,317179,55.624067244,138997,106,106,69.2,
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,HUMBER  COAST AND VALE STP,E38000241,42D,NHS NORTH YORKSHIRE CCG,25-49,59923,46250,77.18238406,1689,6,106,69.2,0.5434645262
2021-06-30,2021-22 Q1,E40000008,Midlands,NORTHAMPTONSHIRE STP,E38000242,78H,NHS NORTHAMPTONSHIRE CCG,25-49,134128,93344,69.593224383,13959,78,106,69.2,-0.634333295
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,CUMBRIA AND NORTH EAST STP,E38000130,00L,NHS NORTHUMBERLAND CCG,25-49,45753,35645,77.90745962,958,3,106,69.2,0.4969973277
2021-06-30,2021-22 Q1,E40000008,Midlands,NOTTINGHAM AND NOTTINGHAMSHIRE HEALTH AND CARE STP,E38000243,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,25-49,175399,130791,74.56769993,9529,28,106,69.2,-0.093868384
2021-06-30,2021-22 Q1,E40000010,North West,GREATER MANCHESTER HEALTH AND SOCIAL CARE PARTNERSHIP (STP),E38000135,00Y,NHS OLDHAM CCG,25-49,42796,29112,68.02504907,5125,87,106,69.2,-1.244554763
2021-06-30,2021-22 Q1,E40000005,South East,BUCKINGHAMSHIRE  OXFORDSHIRE AND BERKSHIRE WEST STP,E38000136,10Q,NHS OXFORDSHIRE CCG,25-49,131642,89016,67.619756613,16298,89,106,69.2,0.7090324386
2021-06-30,2021-22 Q1,E40000005,South East,HAMPSHIRE AND THE ISLE OF WIGHT STP,E38000137,10R,NHS PORTSMOUTH CCG,25-49,39718,26267,66.133742887,5508,93,106,69.2,0.4504316192
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,SOUTH YORKSHIRE AND BASSETLAW STP,E38000141,03L,NHS ROTHERHAM CCG,25-49,41601,31023,74.572726617,2258,27,106,69.2,-0.444773202
2021-06-30,2021-22 Q1,E40000010,North West,GREATER MANCHESTER HEALTH AND SOCIAL CARE PARTNERSHIP (STP),E38000143,01G,NHS SALFORD CCG,25-49,54708,36712,67.105359362,7055,91,106,69.2,-0.916243821
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,SOUTH YORKSHIRE AND BASSETLAW STP,E38000146,03N,NHS SHEFFIELD CCG,25-49,97800,68509,70.050102249,9731,76,106,69.2,-0.414071726
2021-06-30,2021-22 Q1,E40000008,Midlands,SHROPSHIRE AND TELFORD AND WREKIN STP,E38000257,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN CCG",25-49,74337,55279,74.362699598,4191,30,106,69.2,
2021-06-30,2021-22 Q1,E40000006,South West,SOMERSET STP,E38000150,11X,NHS SOMERSET CCG,25-49,83271,61654,74.040182056,4963,38,106,69.2,0.39072445
2021-06-30,2021-22 Q1,E40000003,London,OUR HEALTHIER SOUTH EAST LONDON STP,E38000244,72Q,NHS SOUTH EAST LONDON CCG,25-49,441211,290133,65.758333314,62836,95,106,69.2,0.0627516345
2021-06-30,2021-22 Q1,E40000008,Midlands,STAFFORDSHIRE AND STOKE ON TRENT STP,E38000153,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG,25-49,33176,24609,74.177115987,1932,34,106,69.2,-0.988467047
2021-06-30,2021-22 Q1,E40000010,North West,CHESHIRE AND MERSEYSIDE STP,E38000161,01T,NHS SOUTH SEFTON CCG,25-49,24761,17589,71.035095513,2220,70,106,69.2,-0.268934979
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,CUMBRIA AND NORTH EAST STP,E38000163,00N,NHS SOUTH TYNESIDE CCG,25-49,24442,18738,76.663120858,816,10,106,69.2,0.3854795799
2021-06-30,2021-22 Q1,E40000003,London,SOUTH WEST LONDON HEALTH & CARE PARTNERSHIP (STP),E38000245,36L,NHS SOUTH WEST LONDON CCG,25-49,356219,233261,65.482470054,51715,97,106,69.2,0.7514355324
2021-06-30,2021-22 Q1,E40000007,East of England,MID AND SOUTH ESSEX STP,E38000168,99G,NHS SOUTHEND CCG,25-49,31623,22342,70.65110837,2957,74,106,69.2,-0.155026366
2021-06-30,2021-22 Q1,E40000010,North West,CHESHIRE AND MERSEYSIDE STP,E38000170,01V,NHS SOUTHPORT AND FORMBY CCG,25-49,17298,12649,73.124060585,1190,50,106,69.2,-0.862875076
2021-06-30,2021-22 Q1,E40000010,North West,CHESHIRE AND MERSEYSIDE STP,E38000172,01X,NHS ST HELENS CCG,25-49,31343,22766,72.635038127,2309,54,106,69.2,-1.31685631
2021-06-30,2021-22 Q1,E40000008,Midlands,STAFFORDSHIRE AND STOKE ON TRENT STP,E38000173,05V,NHS STAFFORD AND SURROUNDS CCG,25-49,22435,16635,74.14753733,1313,37,106,69.2,0.3103021015
2021-06-30,2021-22 Q1,E40000010,North West,GREATER MANCHESTER HEALTH AND SOCIAL CARE PARTNERSHIP (STP),E38000174,01W,NHS STOCKPORT CCG,25-49,53202,40799,76.686966655,1763,9,106,69.2,-0.478566224
2021-06-30,2021-22 Q1,E40000008,Midlands,STAFFORDSHIRE AND STOKE ON TRENT STP,E38000175,05W,NHS STOKE ON TRENT CCG,25-49,47540,33002,69.419436264,5030,82,106,69.2,0.3329179946
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,CUMBRIA AND NORTH EAST STP,E38000176,00P,NHS SUNDERLAND CCG,25-49,44823,33694,75.171229057,2165,21,106,69.2,-1.049383757
2021-06-30,2021-22 Q1,E40000005,South East,SURREY HEARTLANDS HEALTH & CARE PARTNERSHIP (STP),E38000246,92A,NHS SURREY HEARTLANDS CCG,25-49,184405,130932,71.002413167,16592,71,106,69.2,0.4733381705
2021-06-30,2021-22 Q1,E40000010,North West,GREATER MANCHESTER HEALTH AND SOCIAL CARE PARTNERSHIP (STP),E38000182,01Y,NHS TAMESIDE AND GLOSSOP CCG,25-49,41688,29997,71.955958549,3354,62,106,69.2,-0.379079074
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,CUMBRIA AND NORTH EAST STP,E38000247,16C,NHS TEES VALLEY CCG,25-49,110260,80541,73.046435697,7667,51,106,69.2,-0.018410719
2021-06-30,2021-22 Q1,E40000007,East of England,MID AND SOUTH ESSEX STP,E38000185,07G,NHS THURROCK CCG,25-49,33632,24453,72.707540438,2453,53,106,69.2,-0.262359628
2021-06-30,2021-22 Q1,E40000010,North West,GREATER MANCHESTER HEALTH AND SOCIAL CARE PARTNERSHIP (STP),E38000187,02A,NHS TRAFFORD CCG,25-49,41393,31033,74.971613558,2082,23,106,69.2,-0.180795964
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,HUMBER  COAST AND VALE STP,E38000188,03Q,NHS VALE OF YORK CCG,25-49,58070,41759,71.911486137,4697,64,106,69.2,0.7592077728
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,WEST YORKSHIRE AND HARROGATE (HEALTH & CARE PARTNERSHIP) STP,E38000190,03R,NHS WAKEFIELD CCG,25-49,62938,46155,73.334074804,4196,46,106,69.2,-0.614077854
2021-06-30,2021-22 Q1,E40000010,North West,CHESHIRE AND MERSEYSIDE STP,E38000194,02E,NHS WARRINGTON CCG,25-49,35850,26623,74.262203626,2057,33,106,69.2,-0.702940538
2021-06-30,2021-22 Q1,E40000007,East of England,HERTFORDSHIRE AND WEST ESSEX STP,E38000197,07H,NHS WEST ESSEX CCG,25-49,54744,40086,73.224462955,3710,49,106,69.2,-0.213323711
2021-06-30,2021-22 Q1,E40000010,North West,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,E38000200,02G,NHS WEST LANCASHIRE CCG,25-49,16108,12245,76.018127638,642,15,106,69.2,1.2085419056
2021-06-30,2021-22 Q1,E40000008,Midlands,LEICESTER  LEICESTERSHIRE AND RUTLAND STP,E38000201,04V,NHS WEST LEICESTERSHIRE CCG,25-49,62689,47001,74.974875975,3151,22,106,69.2,-0.964779337
2021-06-30,2021-22 Q1,E40000007,East of England,SUFFOLK AND NORTH EAST ESSEX STP,E38000204,07K,NHS WEST SUFFOLK CCG,25-49,39372,29778,75.632429137,1720,17,106,69.2,0.6773585341
2021-06-30,2021-22 Q1,E40000005,South East,SUSSEX AND EAST SURREY STP,E38000248,70F,NHS WEST SUSSEX CCG,25-49,140536,103057,73.331388399,9372,47,106,69.2,0.2936937484
2021-06-30,2021-22 Q1,E40000010,North West,GREATER MANCHESTER HEALTH AND SOCIAL CARE PARTNERSHIP (STP),E38000205,02H,NHS WIGAN BOROUGH CCG,25-49,53455,40034,74.892900571,2730,24,106,69.2,-0.854351349
2021-06-30,2021-22 Q1,E40000010,North West,CHESHIRE AND MERSEYSIDE STP,E38000208,12F,NHS WIRRAL CCG,25-49,51724,38055,73.573196195,3325,44,106,69.2,0.1232019896
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,SOUTH YORKSHIRE AND BASSETLAW STP,E38000006,02P,NHS BARNSLEY CCG,50-64,25012,19338,77.314888853,672,16,106,75.1,-0.416495976
2021-06-30,2021-22 Q1,E40000007,East of England,MID AND SOUTH ESSEX STP,E38000007,99E,NHS BASILDON AND BRENTWOOD CCG,50-64,25074,19074,76.070830342,986,54,106,75.1,-0.098263509
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,SOUTH YORKSHIRE AND BASSETLAW STP,E38000008,02Q,NHS BASSETLAW CCG,50-64,11644,8873,76.202335967,443,47,106,75.1,-1.09496133
2021-06-30,2021-22 Q1,E40000006,South West,BATH AND NORTH EAST SOMERSET  SWINDON AND WILTSHIRE STP,E38000231,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",50-64,90880,69636,76.624119718,3068,37,106,75.1,-0.24532956
2021-06-30,2021-22 Q1,E40000007,East of England,BEDFORDSHIRE  LUTON AND MILTON KEYNES STP,E38000249,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",50-64,85987,64024,74.457766872,4766,79,106,75.1,
2021-06-30,2021-22 Q1,E40000005,South East,BUCKINGHAMSHIRE  OXFORDSHIRE AND BERKSHIRE WEST STP,E38000221,15A,NHS BERKSHIRE WEST CCG,50-64,46239,35365,76.483055429,1627,40,106,75.1,-0.738340972
2021-06-30,2021-22 Q1,E40000008,Midlands,BIRMINGHAM AND SOLIHULL STP,E38000220,15E,NHS BIRMINGHAM AND SOLIHULL CCG,50-64,102745,75080,73.074115529,7116,91,106,75.1,-0.915236663
2021-06-30,2021-22 Q1,E40000008,Midlands,THE BLACK COUNTRY AND WEST BIRMINGHAM STP,E38000250,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,50-64,118947,85705,72.05309928,9453,97,106,75.1,
2021-06-30,2021-22 Q1,E40000010,North West,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,E38000014,00Q,NHS BLACKBURN WITH DARWEN CCG,50-64,13999,10399,74.28387742,801,82,106,75.1,-1.706492464
2021-06-30,2021-22 Q1,E40000010,North West,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,E38000015,00R,NHS BLACKPOOL CCG,50-64,16232,11490,70.786101528,1496,101,106,75.1,-0.735216907
2021-06-30,2021-22 Q1,E40000010,North West,GREATER MANCHESTER HEALTH AND SOCIAL CARE PARTNERSHIP (STP),E38000016,00T,NHS BOLTON CCG,50-64,26276,19686,74.92007916,1335,69,106,75.1,-1.480652842
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,WEST YORKSHIRE AND HARROGATE (HEALTH & CARE PARTNERSHIP) STP,E38000232,36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,50-64,50115,37370,74.568492467,2722,78,106,75.1,-1.416586115
2021-06-30,2021-22 Q1,E40000005,South East,SUSSEX AND EAST SURREY STP,E38000021,09D,NHS BRIGHTON AND HOVE CCG,50-64,26663,19469,73.018790084,1862,92,106,75.1,-0.95116035
2021-06-30,2021-22 Q1,E40000006,South West,BRISTOL  NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE STP,E38000222,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",50-64,81588,62253,76.301662009,3018,43,106,75.1,-0.24056099
